no,name,grid
1,Battery,B2
2,Alternator,B3
4,Starter motor,B2
5,Ignition coil,B5
6,Ignition distributor,A5
8,Lighting relay,C7
9,Headlight dimmer/flasher switch,F9
10,Light switch,C8
11,High beam,B1 E1
12,Low beam,B1 E1
13,Front parking light,A1 F1
14,Tail light,A13 F13
15,Number plate light,A13 F13
16,"Rheostat switch, instrument panel illumination",C11
17,Switch light,D11
18,Instrument panel light,D11
19,Glove compartment and heater control lights,E11
20,Ignition switch,B9
21,Ignition switch relay,B6
22,Fuse box,C13 D5 D13
23,Direction indicator flasher unit,F10
24,Direction indicator switch,D10
25,Hazard warning flasher switch,D10
27,"Direction indicator lights, L",F1 F13
28,"Direction indicator lights, R",A1 A13
29,Brake light switch,E11
30,Brake lights,A13 F13
31,Reversing light switch,E12
32,Reversing lights,A13 F13
33,Choke warning light,C10
34,Choke control switch,C10
35,Ventilator fan switch,F11
36,Ventilator fan motor,F12
37,Radiator fan motor,D1
38,Radiator fan relay,B6
39,Radiator fan thermostat switch,E2
40,Horn,D1 E1
41,Horn switch,D8
42,Brake warning switch,E11
43,Handbrake switch,C9
44,Oil warning switch,A2
45,Temperature transmitter,A2
46,Fuel level transmitter,C12
47,"Combination instrument: fuel gauge, fuel/oil/charging/brake warning lights, temperature gauge, high beam indicator, direction indicator light",C9
48,Cigarette lighter,C11
49,Clock,C11
50,"Dome light, door pillar",A10
51,"Dome light, rear view mirror",A10
52,Ignition switch light,A9
53,Interior lighting switch,A9
54,"Door switch, interior lighting",A9 A11 B11
55,Luggage compartment light,A10
56,Luggage compartment light switch,A10
57,3-pole connector,A10 B12 C12 F11
58,12-pole connector,A4 B9 B11 C8 D8 D14 E2 E12
59,2-pole connector,A7 A9 B12 D2 D11 D12 F6 F7
60,1-pole connector,A7 A9 B10 C12 C13 D3 E4 E7
61,Wiper system switch,D9 D14
62,Windshield wiper motor,D13 F4
63,Washer motor,E13 F4
64,Seat heating element with thermostat,A6
65,"Fuse holder, headlight wiper",C4
66,Headlight wiper motor,E3 F3
67,"Relay, headlight wiper motor",B4
69,Seat contact,A8
70,"Seat belt contact, L",A8
71,"Seat belt contact, R",A8
72,"Lamp, seat belt warning system",D12
73,"Service outlet, ignition",D4
74,"Resistance, low speed, ventilator fan",F11
83,"Interval relay, wipers",D8 D13
89,Start inhibitor relay,B13 C4
90,Start inhibitor and reversing light switch,C2
91,Selector indicator light,C9
92,Thermo time switch,A3
94,Starter valve,A4
95,Auxiliary air regulator,B2
96,Warming-up regulator,A2
102,Fuel pump relay,C5
103,Fuel pump,C12
110,Tachometer,C11
113,"Relay, electrically heated rear window",D6
115,Electrically heated rear window,D12
116,"Switch, electrically heated rear window",A11
117,"Switch, corner lamp",C8 D8
118,Corner lamp,A1 F1
122,8-pole connector,F7
123,4-pole connector,F7
130,"Loudspeaker, R",F8
131,"Loudspeaker, L",F6
137,Throttle valve switch,E11
142,Solenoid valve,E3
144,Pressure switch,B5
146,"Electronic control unit, ignition system",A6
147,Compensating resistor,A4
151,Speed transmitter,E11
156,Reversing light relay,B5 C13
157,Spark plugs,A5
158,"Joint, earth cable",D6 E13
