fuse,rating,bar,status,notes
1,5 A,1-2,manual,"lid: left park, tail & licence"
2,5 A,1-2,manual,"lid: right park, tail & licence"
3,8 A,3-6,manual,"lid: horn, back-up lights"
4,8 A,3-6,manual,"lid: wiper-washer, instruments, el. mirror"
5,8 A,3-6,manual,"lid: el. heated seats, cornering lights"
6,16 A,3-6,manual,lid: compartment fan
7,16 A,7-12,manual,"lid: cooling fan, extra lights"
8,16 A,7-12,manual,lid: rear demist
9,8 A,7-12,manual,"lid: cigar lighter, compartment light, clock"
10,8 A,7-12,manual,lid: fuel pump; owner fitted 16 A long ago (spec 8 A)
11,5 A,7-12,manual,"lid: direction indicator lamps, warning flasher"
12,5 A,7-12,manual,lid: brake lights
