cable,colour,mm2,from,to,status,evidence,notes
26,VT,1.0,8:56a,11/12 R:main,traced,"label@4030,1897","main beam, right headlamp"
24,GL,1.0,8:56b,11/12 R:dip,traced,"label@4030,1918","dipped beam, right headlamp"
25,BL,1.0,8:56a,11/12 L:main,traced,"label@4280,2718","main beam, left headlamp"
23,GR,1.0,8:56b,11/12 L:dip,traced,"label@4350,2742","dipped beam, left headlamp"
27,BL/VT,0.75,8:56a,47:7a,traced,"label@4850,2165",main-beam warning lamp in instrument
29,SV,1.0,11/12 R:earth,earth,traced,label at lamp,headlamp earth
115,SV,0.75,11/12 L:common,39,traced,label at lamp; book photo IMG_4715; scan p.407; 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),"earths radiator fan thermostat switch 39 (and so relay 38’s coil) through the left headlamp’s earth, 28 SV"
28,SV,1.0,11/12 L:common,"earth (main earth star, D3)",traced,scan p.407 (label in the grid C2 bundle); 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),the left headlamp’s own earth
13,SV,0.75,8:31,113:85,traced,"label@4280,2250; book photo IMG_4722; 1977 Turbo addendum p.53 (371-2)",relay earth; meets 33 SV and 212 SV at 113:85; earth via 212 SV and joint 158
32,VT,0.75,8:S,9,traced,"label@4850,2190",dip/main toggle pulse from stalk
31,GL,0.75,10:1,8:86,traced,"label@4850,2140","relay coil feed, headlamp position"
20,GR,1.5,22:bar 7-12,8:30,traced,"label@3990,2250","headlamp supply, unfused"
41,GN,1.0,10:4,22:bar 1-2,traced,"label@3990,2226",parking/tail supply via fuses 1-2
40,GR,1.0,10:3,58:pin with 7 GR,traced,"label@5130,1553","light switch supply, always live"
7,GR,2.5,22:bar 7-12,20:30 via 58,traced+text,"label@5100,1530","terminal 30 per ignition switch table, PDF p.375"
30,RD,1.0,10:2,20:X via 58,traced+text,"label@5130,1600","terminal X per ignition switch table, PDF p.375"
10,GR,4.0,22:bar 7-12,21:30/51,traced,"label@3240,2027",feeds the ignition switch relay contact
43,BL,0.75,22:fuse 1,13 L,traced,"label@2590,2545",left front parking light
42,BL,0.75,22:fuse 1,14 L cluster node,traced,"label@2590,2470",left tail lights + number plate light
45,GN,0.75,22:fuse 2,13 R,traced,"label@2590,2520",right front parking light
44,GN,0.75,22:fuse 2,14 R cluster node,traced,"label@2590,2495",right tail lights + number plate light
46,BL,0.75,14 L cluster node,(ends on diagram),stub,"label@7520,3560","accessory tap, likely trailer"
46a,BL,0.75,15 L,(ends on diagram),stub,"label@7735,3330",accessory tap
47,GN,0.75,14 R cluster node,(ends on diagram),stub,"label@7620,786","accessory tap, likely trailer"
47a,GN,0.75,15 R,(ends on diagram),stub,"label@7712,1030",accessory tap
1,RD,16.0,1:+,4:30,traced,label at starter,battery positive to starter
6,GR,4.0,4:30,2:B+,traced,label at starter,starter 30 to alternator B+
5,GR,4.0,2:B+,22:bar 7-12,traced,label at alternator,main feed into bar 7-12 (lands at fuse 10)
5a,GR,2.5,2:B+,22:bar 7-12,traced,label at alternator,second feed into bar 7-12 (lands at fuse 8)
195,RD,0.75,2:D+,47:1,traced,label near 47,charge warning lamp
122,GL,2.5,20:50,89:86,traced+text,label near switch,terminal 50 per PDF p.375; energises relay 89
12,BR/VT,0.75,20:54,21:86,traced+text,"label@3780,1470",1.0 mm2 between connector 58 and switch; terminal 54 per PDF p.375
11,VT,4.0,21:87,22:bar 3-6,traced,labels at both ends,ignition-switched feed into bar 3-6
33,SV,0.75,21:85,113:85,traced,label at relay 21; book photo IMG_4720; 1977 Turbo addendum p.53 (371-2),joins 212 SV at relay 113:85
123,GN/VT,1.5,20:15,147 via 58 (A4) pin 4,traced,label beside switch,terminal 15 per PDF p.375; ignition switch to ballast resistor
340,RD,0.75,20:X via 58,122:1 radio junction box,traced,labels at 58 (B9) and 122,"radio + from ignition switch X via 58 (B9); switched by the key, as the Turbo diagram shows"
280,GR,1.5,22:bar 7-12,73:1,traced,labels at bar and at 73,"service outlet, always live"
202,GR,1.5,22:bar 7-12,89:30,traced,label above fuse 7,"start relay supply, unfused"
94,BR,0.75,22:bar 3-6,67:headlight wiper relay,traced,"label@2745,2230",unfused tap off bar 3-6
117,RD,1.5,22:fuse 3,40:horns,traced,"label@2640,2575; book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg)",
118,SV,1.5,40 (E1):-,41 via 58 (E2) pin 1 and 58 (D8) pin 1,traced,book photos IMG_4715 (at horn 40 and 58 (E2)) and IMG_4723 (at 58 (D8) pin 1); scan p.407; 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),horn return; horn contact 41 earths it (horns switched on the earth side)
119,RD,1.0,40 (E1):+,40 (D1):+,traced,book photo IMG_4715 (at 40 (E1)); scan p.407 (40 (D1)); 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),links the two horns’ + terminals
120,SV,1.0,40 (E1):-,40 (D1):-,traced,book photo IMG_4715 (at 40 (E1)); scan p.407 (40 (D1)); 1977 Turbo addendum p.53 (371-2); book photo P5 (source/photos/book-1979-D1-E2-horns-39-front-left.jpg),links the two horns’ − terminals
135,VT,1.0,22:fuse 3,31:reversing light switch,traced,"label@2830,3120",via connector 58 (E12)
85,BR,1.0,22:fuse 4,61:wiper switch,traced,label at switch 61,
85a,BR,0.75,22:fuse 4,62:4 (wiper motor),traced,labels near fuse and at relay 83,fuse 4 has a second 85a BR to relay 83 (85a#relay)
85a#relay,BR,0.75,22:fuse 4,83:85a,traced,"scan, 24 Sep: traced both ways, fuse 4 diagonal to relay 83 terminal 85a","fuse 4 feeds two 85a BR wires: this one to the interval relay, the other to motor terminal 4"
380,GL,1.0,22:fuse 5,140:15 speed transmitter,traced,"label@2950,2975","fuel boost; the drawing says 140, the 1979 legend calls it 151, speed transmitter (E11)"
